"count" "condition" "gene" "sample"
4.98242110649748 "control" "LOC117687358" "T60"
2.01272345746757 "control" "LOC117687358" "T61"
2.89474751959331 "control" "LOC117687358" "T62"
2.40294048396462 "control" "LOC117687358" "X45"
3.49963586413237 "control" "LOC117687358" "X46"
5.97040054197439 "control" "LOC117687358" "X47"
2.78419889484837 "control" "LOC117687358" "X48"
41.2720728664822 "desiccation" "LOC117687358" "R51"
15.0583125214108 "desiccation" "LOC117687358" "R52"
11.3289702325924 "desiccation" "LOC117687358" "R53"
54.302509675844 "desiccation" "LOC117687358" "R54"
3.33463552172187 "desiccation" "LOC117687358" "R55"
53.4486034603366 "desiccation" "LOC117687358" "R56"
2.97633139284315 "desiccation" "LOC117687358" "R57"
6.80761943319056 "desiccation" "LOC117687358" "R58"
4.46119113449876 "desiccation" "LOC117687358" "R59"
12.4331257427089 "desiccation" "LOC117687358" "R60"
120.592379067018 "desiccation" "LOC117687358" "R61"
2.00571975002656 "desiccation" "LOC117687358" "R62"
21.4030712989486 "control" "LOC105329206" "T55"
33.1648944677775 "control" "LOC105329206" "T56"
