Plate,Repeat,Well,Type,Time,Absorbance @ 405 (0.1s) (A),label
1,7,D03,M,00:09:14.22,0.190,D3
1,7,D04,M,00:09:15.11,0.207,A3
1,7,D05,M,00:09:16.00,0.206,A3
1,7,D06,M,00:09:16.89,0.209,A3
1,8,A01,M,00:09:55.55,0.077,GSH 0
1,8,A02,M,00:09:56.45,0.207,GSH 8
1,8,A03,M,00:09:57.34,0.356,GSH 16
1,8,A04,M,00:09:58.22,0.566,GSH 24
1,8,A05,M,00:09:59.11,0.793,GSH 32
1,8,A06,M,00:10:00.00,1.042,GSH 40
1,8,A07,M,00:10:00.89,0.229,PC 2
1,8,A08,M,00:10:01.78,0.107,PC 10
1,8,A09,M,00:10:02.67,0.220,PC 20
1,8,A10,M,00:10:03.56,0.282,A1
1,8,A11,M,00:10:04.45,0.273,A1
1,8,A12,M,00:10:05.34,0.288,A1
1,8,B01,M,00:10:08.67,0.272,A2
1,8,B02,M,00:10:09.56,0.288,A2
1,8,B03,M,00:10:10.45,0.293,A2
1,8,B04,M,00:10:11.33,0.230,B1
1,8,B05,M,00:10:12.22,0.218,B1
1,8,B06,M,00:10:13.11,0.221,B1
1,8,B07,M,00:10:14.00,0.269,B2
1,8,B08,M,00:10:14.89,0.230,B2
1,8,B09,M,00:10:15.78,0.225,B2
1,8,B10,M,00:10:16.67,0.202,B3
1,8,B11,M,00:10:17.56,0.240,B3
1,8,B12,M,00:10:18.45,0.174,B3
1,8,C01,M,00:10:21.78,0.180,B4
1,8,C02,M,00:10:22.67,0.273,B4
1,8,C03,M,00:10:23.56,0.177,B4
1,8,C04,M,00:10:24.45,0.156,C1
1,8,C05,M,00:10:25.33,0.136,C1
1,8,C06,M,00:10:26.22,0.136,C1
1,8,C07,M,00:10:27.11,0.152,C2
1,8,C08,M,00:10:28.00,0.140,C2
1,8,C09,M,00:10:28.89,0.138,C2
1,8,C10,M,00:10:29.78,0.223,D2
1,8,C11,M,00:10:30.67,0.223,D2
1,8,C12,M,00:10:31.56,0.227,D2
1,8,D01,M,00:10:34.89,0.197,D3
1,8,D02,M,00:10:35.78,0.193,D3
1,8,D03,M,00:10:36.67,0.194,D3
1,8,D04,M,00:10:37.56,0.211,A3
1,8,D05,M,00:10:38.45,0.208,A3
1,8,D06,M,00:10:39.33,0.212,A3
1,9,A01,M,00:11:17.94,0.077,GSH 0
1,9,A02,M,00:11:18.83,0.206,GSH 8
1,9,A03,M,00:11:19.72,0.355,GSH 16
1,9,A04,M,00:11:20.61,0.565,GSH 24
1,9,A05,M,00:11:21.50,0.790,GSH 32
1,9,A06,M,00:11:22.39,1.039,GSH 40
1,9,A07,M,00:11:23.28,0.233,PC 2
1,9,A08,M,00:11:24.17,0.109,PC 10
1,9,A09,M,00:11:25.06,0.225,PC 20
1,9,A10,M,00:11:25.94,0.285,A1
1,9,A11,M,00:11:26.83,0.276,A1
1,9,A12,M,00:11:27.72,0.291,A1
1,9,B01,M,00:11:31.06,0.276,A2
1,9,B02,M,00:11:31.94,0.291,A2
1,9,B03,M,00:11:32.83,0.294,A2
1,9,B04,M,00:11:33.72,0.232,B1
1,9,B05,M,00:11:34.61,0.219,B1
1,9,B06,M,00:11:35.50,0.222,B1
1,9,B07,M,00:11:36.39,0.270,B2
1,9,B08,M,00:11:37.28,0.231,B2
1,9,B09,M,00:11:38.17,0.227,B2
1,9,B10,M,00:11:39.06,0.203,B3
1,9,B11,M,00:11:39.94,0.241,B3
1,9,B12,M,00:11:40.83,0.176,B3
1,9,C01,M,00:11:44.17,0.182,B4
1,9,C02,M,00:11:45.06,0.275,B4
1,9,C03,M,00:11:45.94,0.179,B4
1,9,C04,M,00:11:46.83,0.157,C1
1,9,C05,M,00:11:47.72,0.138,C1
1,9,C06,M,00:11:48.61,0.137,C1
1,9,C07,M,00:11:49.50,0.155,C2
1,9,C08,M,00:11:50.39,0.141,C2
1,9,C09,M,00:11:51.28,0.140,C2
1,9,C10,M,00:11:52.17,0.228,D2
1,9,C11,M,00:11:53.06,0.228,D2
1,9,C12,M,00:11:53.94,0.231,D2
