timepoint,ID,death,ploidy,trt,group_list,trt_list,umol_L_h,SMR_length,SMR_weight,L_cm,V_cm,W_g
6,M05,no,D,desiccation,D_desiccation,D_desiccation_6,57.95641078,0.146,0.649,8.9,59,2
10,M05,no,D,desiccation,D_desiccation,D_desiccation_10,23.63925628,0.059,0.265,8.9,59,2
-10,M06,no,D,desiccation,D_desiccation,D_desiccation_-10,13.68135104,0.04,0.182,7.6,72,1.68
1,M06,no,D,desiccation,D_desiccation,D_desiccation_1,71.70250842,0.211,0.956,7.6,72,1.68
2,M06,no,D,desiccation,D_desiccation,D_desiccation_2,48.59357864,0.143,0.648,7.6,72,1.68
6,M06,no,D,desiccation,D_desiccation,D_desiccation_6,46.51659352,0.137,0.62,7.6,72,1.68
10,M06,no,D,desiccation,D_desiccation,D_desiccation_10,22.65294318,0.067,0.302,7.6,72,1.68
-10,M07,no,D,desiccation,D_desiccation,D_desiccation_-10,23.42717062,0.051,0.258,10.2,96,2.03
1,M07,no,D,desiccation,D_desiccation,D_desiccation_1,50.88652052,0.112,0.561,10.2,96,2.03
2,M07,no,D,desiccation,D_desiccation,D_desiccation_2,82.6890965,0.182,0.912,10.2,96,2.03
6,M07,no,D,desiccation,D_desiccation,D_desiccation_6,79.07784949,0.174,0.872,10.2,96,2.03
10,M07,no,D,desiccation,D_desiccation,D_desiccation_10,89.56549288,0.197,0.988,10.2,96,2.03
-10,M08,no,D,desiccation,D_desiccation,D_desiccation_-10,12.43968361,0.031,0.139,8.9,87,2
1,M08,no,D,desiccation,D_desiccation,D_desiccation_1,66.51720514,0.167,0.745,8.9,87,2
2,M08,no,D,desiccation,D_desiccation,D_desiccation_2,48.87924888,0.123,0.547,8.9,87,2
6,M08,no,D,desiccation,D_desiccation,D_desiccation_6,50.70285215,0.128,0.568,8.9,87,2
10,M08,no,D,desiccation,D_desiccation,D_desiccation_10,48.84851189,0.123,0.547,8.9,87,2
-10,M09,no,D,desiccation,D_desiccation,D_desiccation_-10,36.54376922,0.093,0.431,8.8,79,1.9
1,M09,no,D,desiccation,D_desiccation,D_desiccation_1,59.22491114,0.151,0.698,8.8,79,1.9
2,M09,no,D,desiccation,D_desiccation,D_desiccation_2,88.7753852,0.226,1.046,8.8,79,1.9
6,M09,no,D,desiccation,D_desiccation,D_desiccation_6,56.46635265,0.144,0.665,8.8,79,1.9
10,M09,no,D,desiccation,D_desiccation,D_desiccation_10,68.10348985,0.173,0.803,8.8,79,1.9
-10,M10,no,D,desiccation,D_desiccation,D_desiccation_-10,19.91359426,0.048,0.093,9.3,106,4.8
1,M10,no,D,desiccation,D_desiccation,D_desiccation_1,72.32229033,0.174,0.337,9.3,106,4.8
2,M10,no,D,desiccation,D_desiccation,D_desiccation_2,88.26638934,0.213,0.412,9.3,106,4.8
6,M10,no,D,desiccation,D_desiccation,D_desiccation_6,35.30533523,0.085,0.165,9.3,106,4.8
-10,M11,no,D,desiccation,D_desiccation,D_desiccation_-10,13.76064848,0.038,0.119,8.2,55,2.6
1,M11,no,D,desiccation,D_desiccation,D_desiccation_1,57.8207557,0.158,0.498,8.2,55,2.6
2,M11,no,D,desiccation,D_desiccation,D_desiccation_2,69.70658281,0.19,0.6,8.2,55,2.6
6,M11,no,D,desiccation,D_desiccation,D_desiccation_6,57.87448293,0.158,0.498,8.2,55,2.6
10,M11,no,D,desiccation,D_desiccation,D_desiccation_10,70.12855053,0.191,0.604,8.2,55,2.6
-10,M12,no,D,desiccation,D_desiccation,D_desiccation_-10,10.09416244,0.025,0.07,8.9,67,3.24
1,M12,no,D,desiccation,D_desiccation,D_desiccation_1,52.73323024,0.133,0.364,8.9,67,3.24
2,M12,no,D,desiccation,D_desiccation,D_desiccation_2,88.69245615,0.223,0.613,8.9,67,3.24
6,M12,no,D,desiccation,D_desiccation,D_desiccation_6,20.40272269,0.051,0.141,8.9,67,3.24
-10,M13,no,D,desiccation,D_desiccation,D_desiccation_-10,6.488524441,0.015,0.074,9.7,70,1.97
1,M13,no,D,desiccation,D_desiccation,D_desiccation_1,78.11793613,0.18,0.888,9.7,70,1.97
2,M13,no,D,desiccation,D_desiccation,D_desiccation_2,104.8196124,0.242,1.191,9.7,70,1.97
6,M13,no,D,desiccation,D_desiccation,D_desiccation_6,86.59437299,0.2,0.984,9.7,70,1.97
10,M13,no,D,desiccation,D_desiccation,D_desiccation_10,22.03205717,0.051,0.25,9.7,70,1.97
-10,M14,no,D,desiccation,D_desiccation,D_desiccation_-10,15.52147586,0.038,0.151,9.2,79,2.3
1,M14,no,D,desiccation,D_desiccation,D_desiccation_1,65.63562329,0.16,0.639,9.2,79,2.3
2,M14,no,D,desiccation,D_desiccation,D_desiccation_2,97.56958857,0.237,0.95,9.2,79,2.3
6,M14,no,D,desiccation,D_desiccation,D_desiccation_6,20.53569213,0.05,0.2,9.2,79,2.3
10,M14,no,D,desiccation,D_desiccation,D_desiccation_10,31.25982402,0.076,0.304,9.2,79,2.3
-10,M15,no,D,desiccation,D_desiccation,D_desiccation_-10,5.459589331,0.015,0.066,8.1,57,1.86
1,M15,no,D,desiccation,D_desiccation,D_desiccation_1,70.53201135,0.195,0.849,8.1,57,1.86
2,M15,no,D,desiccation,D_desiccation,D_desiccation_2,77.21112444,0.213,0.93,8.1,57,1.86
6,M15,no,D,desiccation,D_desiccation,D_desiccation_6,60.21727233,0.166,0.725,8.1,57,1.86
10,M15,no,D,desiccation,D_desiccation,D_desiccation_10,45.87559929,0.127,0.552,8.1,57,1.86
-10,M16,no,D,desiccation,D_desiccation,D_desiccation_-10,49.75613125,0.131,0.58,8.5,73,1.92
1,M16,no,D,desiccation,D_desiccation,D_desiccation_1,59.16589202,0.156,0.69,8.5,73,1.92
2,M16,no,D,desiccation,D_desiccation,D_desiccation_2,106.8575496,0.281,1.246,8.5,73,1.92
6,M16,no,D,desiccation,D_desiccation,D_desiccation_6,54.31681939,0.143,0.633,8.5,73,1.92
10,M16,no,D,desiccation,D_desiccation,D_desiccation_10,23.76981136,0.063,0.277,8.5,73,1.92
-10,M17,no,D,desiccation,D_desiccation,D_desiccation_-10,42.34553882,0.11,0.339,8.6,56,2.8
1,M17,yes,D,desiccation,D_desiccation,D_desiccation_1,56.75717768,0.148,0.454,8.6,56,2.8
2,M17,yes,D,desiccation,D_desiccation,D_desiccation_2,51.07830577,0.133,0.408,8.6,56,2.8
-10,M18,no,D,desiccation,D_desiccation,D_desiccation_-10,4.39451957,0.012,0.057,8.4,75,1.74
1,M18,no,D,desiccation,D_desiccation,D_desiccation_1,19.89442745,0.053,0.256,8.4,75,1.74
2,M18,no,D,desiccation,D_desiccation,D_desiccation_2,96.40225804,0.257,1.241,8.4,75,1.74
6,M18,no,D,desiccation,D_desiccation,D_desiccation_6,73.78883043,0.197,0.95,8.4,75,1.74
10,M18,no,D,desiccation,D_desiccation,D_desiccation_10,11.18952488,0.03,0.144,8.4,75,1.74
-10,M19,no,D,desiccation,D_desiccation,D_desiccation_-10,15.33777709,0.035,0.155,9.7,122,2.21
1,M19,no,D,desiccation,D_desiccation,D_desiccation_1,61.68186489,0.142,0.625,9.7,122,2.21
2,M19,no,D,desiccation,D_desiccation,D_desiccation_2,112.7401368,0.26,1.142,9.7,122,2.21
6,M19,no,D,desiccation,D_desiccation,D_desiccation_6,54.76399056,0.126,0.555,9.7,122,2.21
10,M19,no,D,desiccation,D_desiccation,D_desiccation_10,48.14826723,0.111,0.488,9.7,122,2.21
-10,M20,no,D,desiccation,D_desiccation,D_desiccation_-10,40.1140683,0.099,0.483,9.1,70,1.86
1,M20,no,D,desiccation,D_desiccation,D_desiccation_1,65.7631333,0.162,0.792,9.1,70,1.86
2,M20,no,D,desiccation,D_desiccation,D_desiccation_2,127.6596962,0.314,1.537,9.1,70,1.86
6,M20,no,D,desiccation,D_desiccation,D_desiccation_6,60.34721504,0.148,0.726,9.1,70,1.86
10,M20,no,D,desiccation,D_desiccation,D_desiccation_10,52.22944813,0.129,0.629,9.1,70,1.86
-10,M21,no,D,desiccation,D_desiccation,D_desiccation_-10,40.52185974,0.118,0.531,7.7,48,1.71
1,M21,no,D,desiccation,D_desiccation,D_desiccation_1,46.69098839,0.136,0.611,7.7,48,1.71
2,M21,no,D,desiccation,D_desiccation,D_desiccation_2,89.86832492,0.261,1.177,7.7,48,1.71
6,M21,no,D,desiccation,D_desiccation,D_desiccation_6,13.69998794,0.04,0.179,7.7,48,1.71
10,M21,no,D,desiccation,D_desiccation,D_desiccation_10,27.27763209,0.079,0.357,7.7,48,1.71
-10,M22,no,D,desiccation,D_desiccation,D_desiccation_-10,6.530264506,0.015,0.061,9.6,72,2.4
1,M22,no,D,desiccation,D_desiccation,D_desiccation_1,49.7271473,0.116,0.464,9.6,72,2.4
2,M22,no,D,desiccation,D_desiccation,D_desiccation_2,119.4865867,0.279,1.115,9.6,72,2.4
6,M22,no,D,desiccation,D_desiccation,D_desiccation_6,126.583241,0.295,1.181,9.6,72,2.4
10,M22,no,D,desiccation,D_desiccation,D_desiccation_10,58.30679985,0.136,0.544,9.6,72,2.4
-10,M23,no,D,desiccation,D_desiccation,D_desiccation_-10,14.7967375,0.045,0.215,7.4,52,1.54
1,M23,no,D,desiccation,D_desiccation,D_desiccation_1,47.3027843,0.143,0.688,7.4,52,1.54
2,M23,no,D,desiccation,D_desiccation,D_desiccation_2,94.13997914,0.285,1.369,7.4,52,1.54
6,M23,no,D,desiccation,D_desiccation,D_desiccation_6,68.34177961,0.207,0.994,7.4,52,1.54
10,M23,no,D,desiccation,D_desiccation,D_desiccation_10,64.17427021,0.194,0.933,7.4,52,1.54
-10,M24,no,D,desiccation,D_desiccation,D_desiccation_-10,4.461789274,0.013,0.057,7.7,45,1.74
1,M24,no,D,desiccation,D_desiccation,D_desiccation_1,57.10696568,0.166,0.735,7.7,45,1.74
2,M24,no,D,desiccation,D_desiccation,D_desiccation_2,101.6410911,0.296,1.308,7.7,45,1.74
6,M24,no,D,desiccation,D_desiccation,D_desiccation_6,79.35260751,0.231,1.021,7.7,45,1.74
10,M24,no,D,desiccation,D_desiccation,D_desiccation_10,65.84728266,0.191,0.847,7.7,45,1.74
-10,M25,no,D,desiccation,D_desiccation,D_desiccation_-10,9.4910666,0.03,0.128,7.2,60,1.66
1,M25,no,D,desiccation,D_desiccation,D_desiccation_1,82.80658643,0.258,1.117,7.2,60,1.66
2,M25,no,D,desiccation,D_desiccation,D_desiccation_2,85.93161651,0.267,1.159,7.2,60,1.66
6,M25,no,D,desiccation,D_desiccation,D_desiccation_6,55.83830602,0.174,0.753,7.2,60,1.66
10,M25,no,D,desiccation,D_desiccation,D_desiccation_10,53.37517512,0.166,0.72,7.2,60,1.66
-10,M26,no,D,desiccation,D_desiccation,D_desiccation_-10,11.77377717,0.032,0.146,8.2,60,1.8
1,M26,no,D,desiccation,D_desiccation,D_desiccation_1,56.16758722,0.153,0.699,8.2,60,1.8
2,M26,no,D,desiccation,D_desiccation,D_desiccation_2,114.5417904,0.313,1.425,8.2,60,1.8
6,M26,no,D,desiccation,D_desiccation,D_desiccation_6,76.10108367,0.208,0.947,8.2,60,1.8
10,M26,no,D,desiccation,D_desiccation,D_desiccation_10,10.11816677,0.028,0.126,8.2,60,1.8
-10,M27,no,D,desiccation,D_desiccation,D_desiccation_-10,50.04362138,0.116,0.609,9.7,74,1.84
1,M27,no,D,desiccation,D_desiccation,D_desiccation_1,65.60378954,0.151,0.798,9.7,74,1.84
2,M27,no,D,desiccation,D_desiccation,D_desiccation_2,115.4765212,0.267,1.405,9.7,74,1.84
6,M27,no,D,desiccation,D_desiccation,D_desiccation_6,75.15955237,0.173,0.915,9.7,74,1.84
10,M27,no,D,desiccation,D_desiccation,D_desiccation_10,58.54495547,0.135,0.712,9.7,74,1.84
-10,M28,no,D,desiccation,D_desiccation,D_desiccation_-10,59.15553358,0.137,0.301,9.7,96,4.4
1,M28,no,D,desiccation,D_desiccation,D_desiccation_1,76.73126381,0.177,0.39,9.7,96,4.4
2,M28,no,D,desiccation,D_desiccation,D_desiccation_2,140.7496724,0.325,0.716,9.7,96,4.4
6,M28,no,D,desiccation,D_desiccation,D_desiccation_6,71.88322176,0.166,0.366,9.7,96,4.4
10,M28,no,D,desiccation,D_desiccation,D_desiccation_10,64.7019,0.149,0.329,9.7,96,4.4
-10,M29,no,D,desiccation,D_desiccation,D_desiccation_-10,29.56156214,0.082,0.268,8.1,60,2.47
1,M29,no,D,desiccation,D_desiccation,D_desiccation_1,48.86413482,0.135,0.443,8.1,60,2.47
2,M29,no,D,desiccation,D_desiccation,D_desiccation_2,95.93785833,0.265,0.87,8.1,60,2.47
6,M29,no,D,desiccation,D_desiccation,D_desiccation_6,64.78985886,0.179,0.587,8.1,60,2.47
10,M29,no,D,desiccation,D_desiccation,D_desiccation_10,28.54784374,0.079,0.259,8.1,60,2.47
-10,M30,no,D,desiccation,D_desiccation,D_desiccation_-10,52.59815425,0.135,0.626,8.7,66,1.88
1,M30,no,D,desiccation,D_desiccation,D_desiccation_1,70.52610896,0.182,0.84,8.7,66,1.88
2,M30,no,D,desiccation,D_desiccation,D_desiccation_2,106.6109955,0.274,1.27,8.7,66,1.88
6,M30,no,D,desiccation,D_desiccation,D_desiccation_6,61.01095825,0.157,0.727,8.7,66,1.88
10,M30,no,D,desiccation,D_desiccation,D_desiccation_10,94.19017357,0.242,1.122,8.7,66,1.88
-10,M31,no,D,desiccation,D_desiccation,D_desiccation_-10,25.27935211,0.082,0.385,6.9,50,1.47
1,M31,no,D,desiccation,D_desiccation,D_desiccation_1,52.09070852,0.169,0.793,6.9,50,1.47
2,M31,no,D,desiccation,D_desiccation,D_desiccation_2,86.38594921,0.28,1.316,6.9,50,1.47
6,M31,no,D,desiccation,D_desiccation,D_desiccation_6,24.81744998,0.081,0.378,6.9,50,1.47
10,M31,no,D,desiccation,D_desiccation,D_desiccation_10,11.57862365,0.038,0.176,6.9,50,1.47
-10,M32,no,D,desiccation,D_desiccation,D_desiccation_-10,18.86351179,0.047,0.179,8.9,136,2.36
1,M32,no,D,desiccation,D_desiccation,D_desiccation_1,63.13753068,0.159,0.599,8.9,136,2.36
2,M32,no,D,desiccation,D_desiccation,D_desiccation_2,114.1620023,0.287,1.083,8.9,136,2.36
6,M32,no,D,desiccation,D_desiccation,D_desiccation_6,67.27270782,0.169,0.638,8.9,136,2.36
10,M32,no,D,desiccation,D_desiccation,D_desiccation_10,48.43662253,0.122,0.46,8.9,136,2.36
-10,M33,no,D,desiccation,D_desiccation,D_desiccation_-10,27.40249568,0.065,0.298,9.5,102,2.06
1,M33,no,D,desiccation,D_desiccation,D_desiccation_1,38.68330733,0.091,0.42,9.5,102,2.06
2,M33,no,D,desiccation,D_desiccation,D_desiccation_2,113.8241279,0.268,1.237,9.5,102,2.06
6,M33,no,D,desiccation,D_desiccation,D_desiccation_6,62.80424461,0.148,0.683,9.5,102,2.06
10,M33,no,D,desiccation,D_desiccation,D_desiccation_10,51.88826225,0.122,0.564,9.5,102,2.06
-10,M34,no,D,desiccation,D_desiccation,D_desiccation_-10,18.96662333,0.044,0.232,9.6,70,1.83
1,M34,no,D,desiccation,D_desiccation,D_desiccation_1,58.41019829,0.136,0.715,9.6,70,1.83
2,M34,no,D,desiccation,D_desiccation,D_desiccation_2,157.896444,0.368,1.932,9.6,70,1.83
6,M34,no,D,desiccation,D_desiccation,D_desiccation_6,67.00121563,0.156,0.82,9.6,70,1.83
10,M34,no,D,desiccation,D_desiccation,D_desiccation_10,32.96594993,0.077,0.403,9.6,70,1.83
-10,M35,no,D,desiccation,D_desiccation,D_desiccation_-10,13.23842113,0.04,0.176,7.4,52,1.68
1,M35,no,D,desiccation,D_desiccation,D_desiccation_1,48.74361641,0.147,0.65,7.4,52,1.68
2,M35,no,D,desiccation,D_desiccation,D_desiccation_2,111.4233098,0.337,1.485,7.4,52,1.68
6,M35,no,D,desiccation,D_desiccation,D_desiccation_6,55.82720837,0.169,0.744,7.4,52,1.68
10,M35,no,D,desiccation,D_desiccation,D_desiccation_10,33.28430084,0.101,0.444,7.4,52,1.68
-10,M36,no,D,desiccation,D_desiccation,D_desiccation_-10,16.76362557,0.046,0.175,8.2,66,2.14
1,M36,no,D,desiccation,D_desiccation,D_desiccation_1,52.34384954,0.143,0.548,8.2,66,2.14
2,M36,no,D,desiccation,D_desiccation,D_desiccation_2,102.4391264,0.28,1.072,8.2,66,2.14
6,M36,no,D,desiccation,D_desiccation,D_desiccation_6,68.74300416,0.188,0.719,8.2,66,2.14
10,M36,no,D,desiccation,D_desiccation,D_desiccation_10,34.69045559,0.095,0.363,8.2,66,2.14
-10,M37,no,D,desiccation,D_desiccation,D_desiccation_-10,19.74822947,0.051,0.251,8.6,69,1.76
1,M37,no,D,desiccation,D_desiccation,D_desiccation_1,49.18533299,0.128,0.626,8.6,69,1.76
2,M37,no,D,desiccation,D_desiccation,D_desiccation_2,108.7690176,0.283,1.384,8.6,69,1.76
6,M37,no,D,desiccation,D_desiccation,D_desiccation_6,65.38523278,0.17,0.832,8.6,69,1.76
10,M37,no,D,desiccation,D_desiccation,D_desiccation_10,28.82717833,0.075,0.367,8.6,69,1.76
-10,M38,no,D,desiccation,D_desiccation,D_desiccation_-10,15.01749196,0.039,0.176,8.7,78,1.91
1,M38,no,D,desiccation,D_desiccation,D_desiccation_1,46.4887039,0.12,0.545,8.7,78,1.91
2,M38,no,D,desiccation,D_desiccation,D_desiccation_2,141.8908715,0.365,1.663,8.7,78,1.91
6,M38,no,D,desiccation,D_desiccation,D_desiccation_6,64.54683755,0.166,0.757,8.7,78,1.91
10,M38,no,D,desiccation,D_desiccation,D_desiccation_10,12.16493558,0.031,0.143,8.7,78,1.91
-10,M39,no,D,desiccation,D_desiccation,D_desiccation_-10,11.17552264,0.026,0.159,9.5,47,1.57
1,M39,no,D,desiccation,D_desiccation,D_desiccation_1,27.60419275,0.065,0.394,9.5,47,1.57
2,M39,no,D,desiccation,D_desiccation,D_desiccation_2,104.0462208,0.245,1.484,9.5,47,1.57
6,M39,no,D,desiccation,D_desiccation,D_desiccation_6,38.98624731,0.092,0.556,9.5,47,1.57
10,M39,no,D,desiccation,D_desiccation,D_desiccation_10,29.39483566,0.069,0.419,9.5,47,1.57
-10,M40,no,D,desiccation,D_desiccation,D_desiccation_-10,40.60951347,0.09,0.274,10.1,69,3.32
1,M40,no,D,desiccation,D_desiccation,D_desiccation_1,47.51700329,0.105,0.32,10.1,69,3.32
2,M40,no,D,desiccation,D_desiccation,D_desiccation_2,131.3784403,0.291,0.886,10.1,69,3.32
6,M40,no,D,desiccation,D_desiccation,D_desiccation_6,43.203783,0.096,0.291,10.1,69,3.32
-10,N01,no,D,desiccation,D_desiccation,D_desiccation_-10,66.20338028,0.172,0.501,8.6,60,2.96
-10,N02,no,D,desiccation,D_desiccation,D_desiccation_-10,14.87417271,0.041,0.08,8.1,90,4.16
-10,N03,no,D,desiccation,D_desiccation,D_desiccation_-10,22.61935771,0.059,0.121,8.6,91,4.2
-10,N04,no,D,desiccation,D_desiccation,D_desiccation_-10,26.49380776,0.09,0.235,6.6,49,2.52
-10,N05,no,D,desiccation,D_desiccation,D_desiccation_-10,51.61966728,0.134,0.265,8.6,95,4.36
-10,N06,no,D,desiccation,D_desiccation,D_desiccation_-10,20.02763886,0.048,0.098,9.4,100,4.56
-10,N07,no,D,desiccation,D_desiccation,D_desiccation_-10,32.57198835,0.079,0.198,9.2,78,3.68
-10,N08,no,D,desiccation,D_desiccation,D_desiccation_-10,31.55049743,0.089,0.239,7.9,60,2.96
-10,N09,no,D,desiccation,D_desiccation,D_desiccation_-10,39.23814036,0.101,0.244,8.7,76,3.6
-10,N10,no,D,desiccation,D_desiccation,D_desiccation_-10,20.74062353,0.05,0.126,9.2,78,3.68
-10,N11,no,D,desiccation,D_desiccation,D_desiccation_-10,24.0691768,0.067,0.146,8.1,78,3.68
-10,N12,no,D,desiccation,D_desiccation,D_desiccation_-10,15.15488482,0.044,0.137,7.7,48,2.48
-10,N13,no,D,desiccation,D_desiccation,D_desiccation_-10,38.08511585,0.089,0.26,9.6,68,3.28
-10,N14,no,D,desiccation,D_desiccation,D_desiccation_-10,36.08934242,0.086,0.187,9.4,94,4.32
-10,N15,no,D,desiccation,D_desiccation,D_desiccation_-10,9.088892189,0.025,0.076,8.3,53,2.68
-10,N16,no,D,desiccation,D_desiccation,D_desiccation_-10,27.35097913,0.07,0.255,8.8,46,2.4
-10,N17,no,D,desiccation,D_desiccation,D_desiccation_-10,16.98044139,0.044,0.107,8.7,75,3.56
-10,N18,no,D,desiccation,D_desiccation,D_desiccation_-10,11.01724713,0.034,0.106,7.2,44,2.32
-10,N19,no,D,desiccation,D_desiccation,D_desiccation_-10,8.286692804,0.017,0.037,11,113,5.08
-10,N20,no,D,desiccation,D_desiccation,D_desiccation_-10,28.80808103,0.078,0.192,8.3,70,3.36
-10,N21,no,D,desiccation,D_desiccation,D_desiccation_-10,24.06131733,0.056,0.107,9.6,112,5.04
-10,N22,no,D,desiccation,D_desiccation,D_desiccation_-10,17.39646299,0.035,0.063,11.2,140,6.16
-10,N23,no,D,desiccation,D_desiccation,D_desiccation_-10,23.17814765,0.067,0.146,7.8,75,3.56
-10,N24,no,D,desiccation,D_desiccation,D_desiccation_-10,48.43105584,0.141,0.327,7.7,69,3.32
-10,N25,no,D,desiccation,D_desiccation,D_desiccation_-10,50.82960747,0.15,0.395,7.6,58,2.88
-10,N26,no,D,desiccation,D_desiccation,D_desiccation_-10,48.13041918,0.142,0.39,7.6,55,2.76
-10,N27,no,D,desiccation,D_desiccation,D_desiccation_-10,40.87216885,0.092,0.269,10,71,3.4
-10,N28,no,D,desiccation,D_desiccation,D_desiccation_-10,32.70993094,0.084,0.176,8.7,90,4.16
-10,N29,no,D,desiccation,D_desiccation,D_desiccation_-10,11.13727609,0.023,0.056,10.8,98,4.48
-10,N30,no,D,desiccation,D_desiccation,D_desiccation_-10,40.11464589,0.112,0.312,8,58,2.88
-10,N31,no,D,desiccation,D_desiccation,D_desiccation_-10,16.94185127,0.042,0.114,9,69,3.32
-10,N32,no,D,desiccation,D_desiccation,D_desiccation_-10,39.50886836,0.103,0.184,8.6,106,4.8
-10,N33,no,D,desiccation,D_desiccation,D_desiccation_-10,50.67135331,0.127,0.281,8.9,87,4.04
-10,N34,no,D,desiccation,D_desiccation,D_desiccation_-10,15.10872327,0.042,0.108,8,64,3.12
-10,N35,no,D,desiccation,D_desiccation,D_desiccation_-10,10.54765993,0.025,0.063,9.6,80,3.76
-10,N36,no,D,desiccation,D_desiccation,D_desiccation_-10,7.89122466,0.022,0.055,7.9,66,3.2
-10,N37,no,D,desiccation,D_desiccation,D_desiccation_-10,17.70935357,0.036,0.118,11,70,3.36
-10,N38,no,D,desiccation,D_desiccation,D_desiccation_-10,7.754349908,0.022,0.056,7.9,63,3.08
-10,N39,no,D,desiccation,D_desiccation,D_desiccation_-10,12.29241736,0.033,0.094,8.4,59,2.92
-10,N40,no,D,desiccation,D_desiccation,D_desiccation_-10,12.88603551,0.029,0.078,9.8,78,3.68
-10,R01,no,T,desiccation,T_desiccation,T_desiccation_-10,10.65842315,0.027,0.067,8.9,115,3.54
1,R01,no,T,desiccation,T_desiccation,T_desiccation_1,3.563907876,0.009,0.023,8.9,115,3.54
2,R01,no,T,desiccation,T_desiccation,T_desiccation_2,123.7329272,0.311,0.783,8.9,115,3.54
6,R01,no,T,desiccation,T_desiccation,T_desiccation_6,68.14695209,0.171,0.431,8.9,115,3.54
10,R01,no,T,desiccation,T_desiccation,T_desiccation_10,44.5420664,0.112,0.282,8.9,115,3.54
-10,R02,no,T,desiccation,T_desiccation,T_desiccation_-10,7.411918152,0.024,0.081,6.8,55,2.05
1,R02,no,T,desiccation,T_desiccation,T_desiccation_1,188.898095,0.622,2.063,6.8,55,2.05
2,R02,no,T,desiccation,T_desiccation,T_desiccation_2,7.406979797,0.024,0.081,6.8,55,2.05
6,R02,no,T,desiccation,T_desiccation,T_desiccation_6,12.25777121,0.04,0.134,6.8,55,2.05
10,R02,no,T,desiccation,T_desiccation,T_desiccation_10,18.46655583,0.061,0.202,6.8,55,2.05
-10,R03,no,T,desiccation,T_desiccation,T_desiccation_-10,5.537360913,0.015,0.049,8.4,65,2.54
1,R03,no,T,desiccation,T_desiccation,T_desiccation_1,65.33023539,0.174,0.576,8.4,65,2.54
2,R03,no,T,desiccation,T_desiccation,T_desiccation_2,16.61069016,0.044,0.146,8.4,65,2.54
6,R03,no,T,desiccation,T_desiccation,T_desiccation_6,9.799175104,0.026,0.086,8.4,65,2.54
10,R03,no,T,desiccation,T_desiccation,T_desiccation_10,10.18418103,0.027,0.09,8.4,65,2.54
-10,R04,no,T,desiccation,T_desiccation,T_desiccation_-10,68.51430545,0.189,0.451,8.1,71,3.4
1,R04,yes,T,desiccation,T_desiccation,T_desiccation_1,23.04976372,0.064,0.152,8.1,71,3.4
2,R04,yes,T,desiccation,T_desiccation,T_desiccation_2,7.115391878,0.02,0.047,8.1,71,3.4
-10,R05,no,T,desiccation,T_desiccation,T_desiccation_-10,43.76949569,0.121,0.276,8.1,83,3.55
1,R05,no,T,desiccation,T_desiccation,T_desiccation_1,78.05349882,0.216,0.492,8.1,83,3.55
2,R05,no,T,desiccation,T_desiccation,T_desiccation_2,54.38067987,0.15,0.343,8.1,83,3.55
6,R05,no,T,desiccation,T_desiccation,T_desiccation_6,4.768678685,0.013,0.03,8.1,83,3.55
10,R05,no,T,desiccation,T_desiccation,T_desiccation_10,9.83617513,0.027,0.062,8.1,83,3.55
-10,R06,no,T,desiccation,T_desiccation,T_desiccation_-10,46.70093047,0.123,0.331,8.5,86,3.16
1,R06,no,T,desiccation,T_desiccation,T_desiccation_1,36.85037935,0.097,0.261,8.5,86,3.16
2,R06,no,T,desiccation,T_desiccation,T_desiccation_2,96.06909225,0.253,0.681,8.5,86,3.16
6,R06,no,T,desiccation,T_desiccation,T_desiccation_6,48.49614548,0.128,0.344,8.5,86,3.16
10,R06,no,T,desiccation,T_desiccation,T_desiccation_10,30.75255311,0.081,0.218,8.5,86,3.16
-10,R07,no,T,desiccation,T_desiccation,T_desiccation_-10,45.77216063,0.115,0.205,8.9,111,5
1,R07,yes,T,desiccation,T_desiccation,T_desiccation_1,149.3262107,0.376,0.669,8.9,111,5
2,R07,yes,T,desiccation,T_desiccation,T_desiccation_2,17.65789687,0.044,0.079,8.9,111,5
-10,R08,no,T,desiccation,T_desiccation,T_desiccation_-10,62.60473086,0.169,0.43,8.3,90,3.26
1,R08,no,T,desiccation,T_desiccation,T_desiccation_1,66.24645797,0.179,0.455,8.3,90,3.26
2,R08,no,T,desiccation,T_desiccation,T_desiccation_2,61.70531474,0.166,0.424,8.3,90,3.26
6,R08,no,T,desiccation,T_desiccation,T_desiccation_6,6.959672001,0.019,0.048,8.3,90,3.26
10,R08,no,T,desiccation,T_desiccation,T_desiccation_10,58.57936465,0.158,0.402,8.3,90,3.26
-10,R09,no,T,desiccation,T_desiccation,T_desiccation_-10,30.77968353,0.104,0.369,6.6,44,1.87
1,R09,no,T,desiccation,T_desiccation,T_desiccation_1,65.45419482,0.222,0.784,6.6,44,1.87
2,R09,no,T,desiccation,T_desiccation,T_desiccation_2,10.1848031,0.035,0.122,6.6,44,1.87
6,R09,no,T,desiccation,T_desiccation,T_desiccation_6,9.818417762,0.033,0.118,6.6,44,1.87
10,R09,no,T,desiccation,T_desiccation,T_desiccation_10,11.16969014,0.038,0.134,6.6,44,1.87
-10,R10,no,T,desiccation,T_desiccation,T_desiccation_-10,7.177172549,0.018,0.053,8.9,105,3.04
1,R10,no,T,desiccation,T_desiccation,T_desiccation_1,72.88209757,0.183,0.537,8.9,105,3.04
