Plate,Repeat,Well,Type,Time,Absorbance @ 405 (0.1s) (A),
1,5,G02,M,00:19:57.63,0.216,
1,5,G03,M,00:19:58.52,0.216,
1,5,G04,M,00:19:59.40,0.086,
1,5,G05,M,00:20:00.29,0.087,
1,5,G06,M,00:20:01.18,0.088,
1,5,G07,M,00:20:02.07,0.119,
1,5,G08,M,00:20:02.96,0.097,
1,5,G09,M,00:20:03.85,0.189,
1,6,A01,M,00:23:13.00,0.074,
1,6,A02,M,00:23:13.90,0.076,
1,6,A03,M,00:23:14.79,0.084,
1,6,A04,M,00:23:15.68,0.110,
1,6,A05,M,00:23:16.57,0.172,
1,6,A06,M,00:23:17.46,0.252,
1,6,A07,M,00:23:18.35,0.160,
1,6,A08,M,00:23:19.23,0.167,
1,6,A09,M,00:23:20.12,0.156,
1,6,A10,M,00:23:21.01,0.169,
1,6,A11,M,00:23:21.90,0.178,
1,6,A12,M,00:23:22.79,0.173,
1,6,B01,M,00:23:26.12,0.171,
1,6,B02,M,00:23:27.01,0.186,
1,6,B03,M,00:23:27.90,0.173,
1,6,B04,M,00:23:28.79,0.163,
1,6,B05,M,00:23:29.68,0.169,
1,6,B06,M,00:23:30.57,0.163,
1,6,B07,M,00:23:31.46,0.161,
1,6,B08,M,00:23:32.35,0.185,
1,6,B09,M,00:23:33.23,0.093,
1,6,B10,M,00:23:34.12,0.233,
1,6,B11,M,00:23:35.01,0.207,
1,6,B12,M,00:23:35.90,0.209,
1,6,C01,M,00:23:39.24,0.228,
1,6,C02,M,00:23:40.12,0.222,
1,6,C03,M,00:23:41.01,0.224,
1,6,C04,M,00:23:41.90,0.423,
1,6,C05,M,00:23:42.79,0.404,
1,6,C06,M,00:23:43.68,0.431,
1,6,C07,M,00:23:44.57,0.162,
1,6,C08,M,00:23:45.46,0.151,
1,6,C09,M,00:23:46.35,0.167,
1,6,C10,M,00:23:47.23,0.230,
1,6,C11,M,00:23:48.12,0.234,
1,6,C12,M,00:23:49.01,0.234,
1,6,D01,M,00:23:52.35,0.301,
1,6,D02,M,00:23:53.23,0.331,
1,6,D03,M,00:23:54.12,0.297,
