time,month,day,hour,trt,combo,temp,sal,pH,talk,CO3,HCO3,pCO2,Oca,Oar,response
144,6,29,9,T1,T1_6_29,17.8,26.91666667,8.012501424,1952.184583,99.73508796,1706.269903,486.7292362,1.584856864,1.584856864,-0.946472655
144,6,29,9,T2,T2_6_29,30.78333333,29.06666667,7.961208548,2041.979333,137.2096645,1706.848856,646.1860742,2.325547683,2.325547683,0.274886601
144,6,29,9,T3,T3_6_29,17.71666667,28.26666667,7.992961358,2008.567333,101.1762307,1758.799838,521.9654774,1.601894185,1.601894185,-0.185367017
144,6,29,9,T4,T4_6_29,30.33333333,30.33333333,8.077455445,2094.881667,177.0488986,1661.504453,477.5986113,2.972204317,2.972204317,1.20950058
145,6,29,10,T1,T1_6_29,17.53333333,27.11666667,8.011923798,1960.537583,99.71598163,1714.547904,487.805365,1.582049394,1.582049394,-0.808317965
145,6,29,10,T2,T2_6_29,30.68333333,29.13333333,7.965950707,2044.763667,138.4882041,1706.467163,638.0464239,2.344842096,2.344842096,0.327238644
145,6,29,10,T3,T3_6_29,17.55,28.13333333,7.992127111,2002.998667,99.99973293,1756.1085,521.3772786,1.582756106,1.582756106,-0.265055917
145,6,29,10,T4,T4_6_29,30.56666667,30.33333333,8.106800858,2094.881667,187.6579307,1635.390192,440.7365731,3.155141303,3.155141303,1.20950058
146,6,29,11,T1,T1_6_29,17.4,27,8.011250113,1955.665,98.71662609,1712.125234,487.2424265,1.565715129,1.565715129,-0.890664391
146,6,29,11,T2,T2_6_29,30.6,29.1,7.968842247,2043.3715,138.8168422,1704.257049,632.3613611,2.34946627,2.34946627,0.300408545
146,6,29,11,T3,T3_6_29,17.43333333,27.9,7.991295434,1993.2535,98.54202062,1749.967707,520.1435659,1.559865973,1.559865973,-0.410972858
146,6,29,11,T4,T4_6_29,30.4,30.65,8.110187953,2108.10725,190.2808386,1642.068605,437.9486545,3.190262477,3.190262477,1.594052084
147,6,29,12,T1,T1_6_29,17.35,26.98333333,8.00771276,1954.968917,97.80305095,1713.66987,491.3328264,1.550959425,1.550959425,-0.904847434
147,6,29,12,T2,T2_6_29,30.65,29.16666667,7.965893068,2046.155833,138.5456994,1707.70732,638.3541013,2.344895476,2.344895476,0.342834873
147,6,29,12,T3,T3_6_29,17.31666667,27.78333333,7.989009433,1988.380917,97.29224152,1748.166543,521.6711835,1.53981773,1.53981773,-0.468110064
147,6,29,12,T4,T4_6_29,30.43333333,30.63333333,8.128625454,2107.411167,196.6772312,1625.588797,415.8169679,3.298499185,3.298499185,1.575565161
148,6,29,13,T1,T1_6_29,17.35,26.88333333,8.012535994,1950.792417,98.35183001,1708.163895,484.5810292,1.560000997,1.560000997,-0.982100336
148,6,29,13,T2,T2_6_29,30.76666667,29.2,7.959811463,2047.548,137.4803236,1711.732356,649.8463427,2.328306185,2.328306185,0.361324149
148,6,29,13,T3,T3_6_29,17.35,27.65,7.988891511,1982.81225,96.8203716,1743.796892,520.9533829,1.533040961,1.533040961,-0.529846319
148,6,29,13,T4,T4_6_29,30.33333333,30.66666667,8.139939082,2108.803333,200.4426193,1617.656992,402.5522324,3.358810726,3.358810726,1.613100436
149,6,29,14,T1,T1_6_29,17.61666667,26.8,8.004985567,1947.312,97.25502676,1707.480683,494.6439073,1.544640188,1.544640188,-1.050959239
149,6,29,14,T2,T2_6_29,30.66666667,29.31666667,7.968012918,2052.420583,139.9625647,1710.476322,636.3149511,2.36735572,2.36735572,0.418146052
149,6,29,14,T3,T3_6_29,17.55,27.5,7.982664483,1976.5475,95.55207568,1740.745709,529.2142544,1.51474794,1.51474794,-0.605648936
149,6,29,14,T4,T4_6_29,30.4,30.75,8.162100324,2112.28375,209.3167009,1599.200826,378.5798902,3.507482008,3.507482008,1.668744292
150,6,29,15,T1,T1_6_29,17.76666667,26.76666667,8.01544953,1945.919833,99.60397223,1700.35333,481.8261889,1.583066705,1.583066705,-1.077868517
150,6,29,15,T2,T2_6_29,30.75,29.48333333,7.963794647,2059.381417,139.9881641,1717.368516,645.7064979,2.367091617,2.367091617,0.494124173
150,6,29,15,T3,T3_6_29,17.8,27.55,7.978639987,1978.63575,95.64387244,1742.668303,536.370434,1.517602333,1.517602333,-0.583653019
